anno_idx,imdbid,text_gt,text_gt_wo_char,gt_action
27,tt0583647,He picks up a speculum and smiles.,He picks up a speculum and smiles.,"['He picks up a speculum.', 'He smiles.']"
28,tt0583647,He holds it up like a puppet.,He holds it up like a puppet.,"['He holds it up.', 'It looks like a puppet.']"
29,tt0583647,He tosses it down.,He tosses it down.,['He tosses it down.']
30,tt0583647,Now Rachel eases into a dentist's office as he works on a kid's teeth.,Now he eases into a dentist's office as he works on a kid's teeth.,"[""He eases into a dentist's office."", ""He works on a kid's teeth.""]"
31,tt0583647,The kid throws up his arms at the OBGYN.,The kid throws up his arms at the OBGYN.,"['The kid throws up his arms.', 'He is at the OBGYN.']"
32,tt0583647,He takes Susan and Carol's hands.,He takes her hands.,['He takes her hands.']
33,tt0583647,"Executive producers Kevin S. Bright, Marta Kaufman, and David Crane.",They are executive producers.,['They are executive producers.']
34,tt0583647,"At Monica's, Ross plays the sonogram for the group.","At his, he plays the sonogram for the group.","['He is at his.', 'He plays the sonogram for the group.']"
35,tt0583647,Chandler and Joey squint at the screen.,They squint at the screen.,['They squint at the screen.']
36,tt0583653,They stare at him sympathetically.,They stare at him sympathetically.,['They stare at him sympathetically.']
37,tt0583653,Joey grabs a cigarette and lighter.,He grabs a cigarette and lighter.,"['He grabs a cigarette.', 'He grabs a lighter.']"
38,tt0583653,The lighter flips out of his hand.,The lighter flips out of his hand.,['The lighter flips out of his hand.']
39,tt0583653,"He clambers after it, then manages to light his cigarette.","He clambers after it, then manages to light his cigarette.","['He clambers after it.', 'He manages to light his cigarette.']"
40,tt0583653,He sinks with pleasure.,He sinks with pleasure.,['He sinks with pleasure.']
41,tt0583653,"At the coffee shop, Monica sits with the guys.","At the coffee shop, she sits with them.",['She sits with them at the coffee shop.']
42,tt0583653,"Joey, Ross, and Chandler study their hands.",They study their hands.,['They study their hands.']
43,tt0583653,Rachel carries a tray.,She carries a tray.,['She carries a tray.']
44,tt0583653,They pass saucers and cups to each other.,They pass saucers and cups to each other.,"['They pass saucers to each other.', 'They pass cups to each other.']"
45,tt0583653,"She leaves, and they all exchange their drinks.","She leaves, and they all exchange their drinks.","['She leaves.', 'They all exchange their drinks.']"
46,tt0583653,Chandler runs in slow motion.,He runs in slow motion.,['He runs in slow motion.']
47,tt0583653,The others sit and gaze off with dreamy expressions.,They sit and gaze off with dreamy expressions.,"['They sit.', 'They gaze off with dreamy expressions.']"
48,tt0583653,Monica looks around at them and tilts her head.,She looks around at them and tilts her head.,"['She looks around at them.', 'She tilts her head.']"
49,tt0583653,Monica reads at the coffee shop as the others arrive in softball gear.,She reads at the coffee shop as they arrive in softball gear.,"['She reads at the coffee shop.', 'They arrive in softball gear.']"
50,tt0583653,They slump inside.,They slump inside.,['They slump inside.']
51,tt0583653,A view travels up a high rise building.,A view travels up a high rise building.,['A view travels up a high rise building.']
52,tt0583653,"At Chandler's office, he works on a computer in his cubicle.","At his office, he works on a computer in his cubicle.",['He works on a computer in his cubicle at his office.']
53,tt0583653,"He peers around to make sure no one's watching, then takes a cigarette from his desk drawer.","He peers around to make sure no one's watching, then takes a cigarette from his desk drawer.","[""He peers around to make sure no one's watching."", 'He takes a cigarette from his desk drawer.']"
54,tt0583653,"He takes a drag, then shuts the smoking cigarette back in the drawer.","He takes a drag, then shuts the cigarette back in the drawer.","['He takes a drag.', 'He shuts the cigarette back in the drawer.']"
55,tt0583653,"From another drawer, he pulls out a handheld fan.","From another drawer, he pulls out a handheld fan.","['From another drawer, he pulls out a handheld fan.']"
56,tt0583653,"He blows it while spraying air freshener, then replaces the fan and shuts the drawer.","He blows it while spraying air freshener, then replaces the fan and shuts the drawer.","['He blows it while spraying air freshener.', 'He replaces the fan.', 'He shuts the drawer.']"
57,tt0583653,"He uses breath spray, then returns to his work.","He uses breath spray, then returns to his work.","['He uses breath spray.', 'Then he returns to his work.']"
58,tt0583653,"He glances at the desk drawer, then sneaks another puff.","He glances at the desk drawer, then sneaks another puff.","['He glances at the desk drawer.', 'He sneaks another puff.']"
59,tt0583653,"He shuts the cigarette back in the drawer, gets the fan, and sprays the breath freshener into the air.","He shuts the cigarette back in the drawer, gets the fan, and sprays the breath freshener into the air.","['He shuts the cigarette back in the drawer.', 'He gets the fan.', 'He sprays the breath freshener into the air.']"
60,tt0583653,Lizzie rolls her cart away.,She rolls her cart away.,"['She rolls her cart.', 'She moves away.']"
61,tt0583653,Later at the coffee shop.,Later at the coffee shop.,['Later at the coffee shop.']
62,tt0583653,Chandler lights a cigarette.,He lights a cigarette.,['He lights a cigarette.']
63,tt0583653,They sit and reflect.,They sit and reflect.,"['They sit.', 'They reflect.']"
64,tt0583653,Phoebe releases a mouthful of hair.,She releases a mouthful of hair.,['She releases a mouthful of hair.']
65,tt0583653,Chandler smiles to himself and walks away smoking.,He smiles to himself and walks away smoking.,"['He smiles to himself.', 'He walks away smoking.']"
66,tt0583653,In the kitchen at Monica's restaurant.,In the kitchen at her restaurant.,['In the kitchen at her restaurant.']
67,tt0583653,She hands him a cordless phone.,She hands him a cordless phone.,['She hands him a cordless phone.']
68,tt0583653,He smiles and hands the phone back to Rachel.,He smiles and hands the phone back to her.,"['He smiles.', 'He hands the phone back to her.']"
69,tt0583653,He puts the cigarette out on the counter.,He puts the cigarette out on the counter.,"['He puts the cigarette out.', 'It is on the counter.']"
70,tt0583653,If only he were a woman.,If only he were a woman.,['He were a woman.']
71,tt0583653,"They look at each other, confused.","They look at each other, confused.","['They look at each other.', 'They are confused.']"
72,tt0583653,"Later, Monica and Dallin sit together on a couch.","Later, they sit together on a couch.",['They sit together on a couch.']
73,tt0583653,"Executive Producers Kevin S. Bright, Marta Kaufman, and David Crane.",They are executive producers.,['They are executive producers.']
74,tt0583521,Chandler and Joey go after him.,They go after him.,['They go after him.']
75,tt0583521,Rachel sits down to open the envelope.,She sits down to open the envelope.,"['She sits down.', 'She opens the envelope.']"
76,tt0583521,Rachel sulks off as they all dig out their wallets and pool their cash.,He sulks off as they all dig out their wallets and pool their cash.,"['He sulks off.', 'They all dig out their wallets.', 'They pool their cash.']"
77,tt0583521,The pregnant woman looks behind the counter.,She looks behind the counter.,['She looks behind the counter.']
78,tt0583521,Rachel glares.,She glares.,['She glares.']
79,tt0583521,Chandler and Joey kick a can down the sidewalk.,They kick a can down the sidewalk.,['They kick a can down the sidewalk.']
80,tt0583521,Ross ignores them and sulks.,He ignores them and sulks.,"['He ignores them.', 'He sulks.']"
81,tt0583521,They continue on.,They continue on.,['They continue on.']
82,tt0583521,Ross stops.,He stops.,['He stops.']
83,tt0583521,Rachel hangs her head.,She hangs her head.,['She hangs her head.']
84,tt0583521,Rachel slumps in and sets down her purse.,She slumps in and sets down her purse.,"['She slumps in.', 'She sets down her purse.']"
85,tt0583521,Rachel drinks straight from the blender.,She drinks straight from the blender.,['She drinks straight from the blender.']
86,tt0583521,A lit-up sign reads Madison Square Garden.,A lit-up sign reads a sign.,['A lit-up sign reads a sign.']
87,tt0583521,"Ross, Chandler, and Joey find their seats in the crowded bleachers.",They find their seats in the crowded bleachers.,"['They find their seats.', 'They are in the crowded bleachers.']"
88,tt0583521,She shoots them a withering glare.,She shoots them a withering glare.,['She shoots them a withering glare.']
89,tt0583521,She glares at Ross and all three of them back away.,She glares at him and all three of them back away.,"['She glares at him.', 'All three of them back away.']"
90,tt0583521,Monica eats cookie dough off a spoon.,She eats cookie dough off a spoon.,['She eats cookie dough off a spoon.']
91,tt0583521,Rachel pouts with her drink.,She pouts with her drink.,['She pouts with her drink.']
92,tt0583521,Monica runs to the window.,She runs to the window.,['She runs to the window.']
93,tt0583521,"Rachel pays for the pizza, and Phoebe opens it.","She pays for the pizza, and she opens it.","['She pays for the pizza.', 'She opens it.']"
94,tt0583521,Monica peers out the window.,She peers out the window.,['She peers out the window.']
95,tt0583521,"Phoebe covers her mouth, puts down the binoculars, and runs back to the couches.","She covers her mouth, puts down the binoculars, and runs back to the couches.","['She covers her mouth.', 'She puts down the binoculars.', 'She runs back to the couches.']"
96,tt0583521,He notices Ross glaring and sends the puck his way.,He notices him glaring and sends the puck his way.,"['He notices him glaring.', 'He sends the puck his way.']"
97,tt0583521,Chandler stands.,He stands.,['He stands.']
98,tt0583521,Back on the balcony.,Back on the balcony.,['He is back on the balcony.']
99,tt0583521,Rachel's pillow falls off the balcony.,His pillow falls off the balcony.,['His pillow falls off the balcony.']
100,tt0583521,"Ross, with a splinted nose, hands in his paperwork to the nurse.",He hands in his paperwork to her.,"['He hands in his paperwork.', 'She receives his paperwork.']"
101,tt0583521,"Ross looks to Chandler, who shrugs.","He looks to him, who shrugs.","['He looks to him.', 'He shrugs.']"
102,tt0583521,The puck flies out of Ross' hand and knocks out the nurse.,The puck flies out of his hand and knocks out her.,"['The puck flies out of his hand.', 'It knocks out her.']"
103,tt0583599,A blonde in a tight dress struts past.,A blonde in a tight dress struts past.,"['A blonde in a tight dress struts.', 'She passes past.']"
104,tt0583599,He settles back on the couch and props his foot on his knee.,He settles back on the couch and props his foot on his knee.,"['He settles back on the couch.', 'He props his foot on his knee.']"
105,tt0583599,Rachel gets back to work as Joey heads over to Angela.,He gets back to work as he heads over to her.,"['He gets back to work.', 'He heads over to her.']"
106,tt0583599,She turns away to sip her drink as Joey smiles and nods.,She turns away to sip her drink as he smiles and nods.,"['She turns away to sip her drink.', 'He smiles and nods.']"
107,tt0583599,Rachel wipes down tables.,She wipes down tables.,['She wipes down tables.']
108,tt0583599,"Angela gives him a smile, but it abruptly fades.","He gives him a smile, but it abruptly fades.","['He gives him a smile.', 'It abruptly fades.']"
109,tt0583599,He glances around the cafe.,He glances around the cafe.,['He glances around the cafe.']
110,tt0583599,"At Central Park, Chandler nervously peers outside, then paces over to Phoebe.","At Central Park, he nervously peers outside, then paces over to her.","['He nervously peers outside.', 'He paces over to her.']"
111,tt0583599,Chandler spots Janice entering.,He spots her entering.,['He spots her entering.']
112,tt0583599,Phoebe steps away.,She steps away.,['She steps away.']
113,tt0583599,They hug and go their separate ways.,They hug and go their separate ways.,"['They hug.', 'They go their separate ways.']"
114,tt0583599,"Their drinks arrive, and Chandler downs his espresso in one gulp.","Their drinks arrive, and he downs his espresso in one gulp.","['Their drinks arrive.', 'He downs his espresso in one gulp.']"
115,tt0583599,"Rachel leans back, blinking.","She leans back, blinking.","['She leans back.', 'She blinks.']"
116,tt0583599,She waves bye-bye.,She waves bye-bye.,['She waves bye-bye.']
117,tt0583599,Ross shows up.,He shows up.,['He shows up.']
118,tt0583599,He blocks the coin slot and points accusingly at her.,He blocks the coin slot and points accusingly at her.,"['He blocks the coin slot.', 'He points accusingly at her.']"
119,tt0583599,They stare each other down.,They stare each other down.,['They stare each other down.']
120,tt0583599,Then the lady sneers and starts removing her clothes from the machine.,Then he sneers and starts removing her clothes from the machine.,"['He sneers.', 'He starts removing her clothes from the machine.']"
121,tt0583599,"He drops a big carton, then picks it up off the floor.","He drops a big carton, then picks it up off the floor.","['He drops a big carton.', 'He picks it up off the floor.']"
122,tt0583599,He watches her mix lights and darks.,He watches her mix lights and darks.,"['He watches her.', 'She mixes lights and darks.']"
123,tt0583599,"Joey, Monica, Bob, and Angela laugh over drinks.",They laugh over drinks.,['They laugh over drinks.']
124,tt0583599,Monica pats Joey's leg approvingly.,She pats his leg approvingly.,"['She pats his leg.', 'She does it approvingly.']"
125,tt0583599,Angela forces a smile.,She forces a smile.,['She forces a smile.']
126,tt0583599,"At Central Perk, Chandler stands by Phoebe.","At Central Perk, he stands by her.","['He stands by her.', 'At Central Perk.']"
127,tt0583599,He clenches his fists.,He clenches his fists.,['He clenches his fists.']
128,tt0583599,"Her jaw drops, and she turns away from him.","Her jaw drops, and she turns away from him.","['Her jaw drops.', 'She turns away from him.']"
129,tt0583599,"Gaping, she holds up a finger and sits back in her seat.","Gaping, she holds up a finger and sits back in her seat.","['She holds up a finger.', 'She sits back in her seat.']"
130,tt0583599,She takes a deep breath.,She takes a deep breath.,['She takes a deep breath.']
131,tt0583599,He gives her an encouraging nod.,He gives her an encouraging nod.,['He gives her an encouraging nod.']
132,tt0583599,Back at the table.,Back at the table.,['Back at the table.']
133,tt0583599,She dabs wine from Bob's collar and neck.,She dabs wine from his collar and neck.,"['She dabs wine from his collar.', 'She dabs wine from his neck.']"
134,tt0583599,Angela and Joey make eyes at each other.,They make eyes at each other.,['They make eyes at each other.']
135,tt0583599,Angela smiles as she daintily nibbles one.,She smiles as she daintily nibbles one.,"['She smiles.', 'She daintily nibbles one.']"
136,tt0583599,"At Central Perk, Chandler drums a table covered in empty espresso cups.","At Central Perk, he drums a table covered in empty espresso cups.",['He drums a table covered in empty espresso cups at Central Perk.']
137,tt0583599,"She leaves, and Chandler leaps over the couch.","She leaves, and he leaps over the couch.","['She leaves.', 'He leaps over the couch.']"
138,tt0583599,He steals Phoebe's espresso.,He steals her espresso.,['He steals her espresso.']
139,tt0583599,Chandler anxiously runs his hands through his hair as Janice approaches.,He anxiously runs his hands through his hair as she approaches.,"['He anxiously runs his hands through his hair.', 'She approaches.']"
140,tt0583599,Phoebe intercepts her.,He intercepts her.,['He intercepts her.']
141,tt0583599,"They talk briefly, then share a hug.","They talk briefly, then share a hug.","['They talk briefly.', 'They share a hug.']"
142,tt0583599,Janice warmly smiles across the cafe at Chandler and places a hand over her heart before heading out the door.,She warmly smiles across the cafe at him and places a hand over her heart before heading out the door.,"['She warmly smiles across the cafe at him.', 'She places a hand over her heart.', 'She heads out the door.']"
143,tt0583599,Chandler gapes.,He gapes.,['He gapes.']
144,tt0583599,She climbs into the cart and sits down.,She climbs into the cart and sits down.,"['She climbs into the cart.', 'She sits down.']"
145,tt0583599,She pushes the cart to him.,She pushes the cart to him.,['She pushes the cart to him.']
146,tt0583585,"On stage, the actors bow.","On stage, they bow.",['They bow.']
147,tt0583585,"As they walk off stage, the friends slump.","As they walk off stage, he slumps.","['They walk off stage.', 'He slumps.']"
148,tt0583585,They sit.,They sit.,['They sit.']
149,tt0583585,A woman applies makeup.,She applies makeup.,['She applies makeup.']
150,tt0583585,Phoebe reads Monica's palm as they hang out around the coffee shop couch with Ross and Joey.,They hang out around the coffee shop couch with him and him.,"['They hang out around the coffee shop couch with him.', 'They hang out with him.']"
151,tt0583585,Chandler walks in.,He walks in.,['He walks in.']
152,tt0583585,Monica notices a stray piece of furniture.,She notices a stray piece of furniture.,['She notices a stray piece of furniture.']
153,tt0583585,She moves it.,She moves it.,['She moves it.']
154,tt0583585,Joey walks in on the phone.,He walks in on the phone.,"['He walks in.', 'He is on the phone.']"
155,tt0583585,He hangs up.,He hangs up.,['He hangs up.']
156,tt0583585,A director.,A director.,['A director.']
157,tt0583585,She gathers her things.,She gathers her things.,['She gathers her things.']
158,tt0583585,"She grabs her bag and pecks his lips, but he pulls her in for a long, passionate kiss.","She grabs her bag and pecks his lips, but he pulls her in for a long, passionate kiss.","['She grabs her bag.', 'She pecks his lips.', 'He pulls her in for a long, passionate kiss.']"
159,tt0583585,"He watches her go, then covers his face and falls backward onto the bed.","He watches her go, then covers his face and falls backward onto the bed.","['He watches her go.', 'Then, he covers his face.', 'He falls backward onto the bed.']"
160,tt0583585,"At night, Chandler sulks as the crew hangs out at Monica's.","At night, he sulks as the crew hangs out at her.","['At night, he sulks.', 'The crew hangs out at her.']"
161,tt0583585,He hugs her.,He hugs her.,['He hugs her.']
162,tt0583585,Chandler and Ross hug.,They hug.,['They hug.']
163,tt0583585,"She turns back, then stops.","She turns back, then stops.","['She turns back.', 'She then stops.']"
164,tt0583579,"At Monica's, Rachel looks out the window at the darkened city skyline.","At her, she looks out the window at the darkened city skyline.",['She looks out the window at the darkened city skyline.']
165,tt0583579,"Chandler swaggers over to her, then turns back with an awkward shimmy.","He swaggers over to her, then turns back with an awkward shimmy.","['He swaggers over to her.', 'He turns back with an awkward shimmy.']"
166,tt0583579,"He takes slow, careful steps so the candles stay lit.","He takes slow, careful steps so the candles stay lit.","['He takes slow steps.', 'He is careful so the candles stay lit.']"
167,tt0583579,He smiles at Jill and she briefly smiles back.,He smiles at her and she briefly smiles back.,"['He smiles at her.', 'She briefly smiles back.']"
168,tt0583579,His smile broadens and she looks away with a grimace.,His smile broadens and she looks away with a grimace.,"['His smile broadens.', 'She looks away with a grimace.']"
169,tt0583579,Her cell phone.,Her cell phone.,['Her cell phone.']
170,tt0583579,He accepts her phone and calls Monica's.,He accepts her phone and calls her.,"['He accepts her phone.', 'He calls her.']"
171,tt0583579,She furrows her brow at the bank.,She furrows her brow at the bank.,['She furrows her brow at the bank.']
172,tt0583579,"At Monica's, Phoebe strums a guitar.","At her place, she strums a guitar.",['She strums a guitar at her place.']
173,tt0583579,She smiles and jots a note.,She smiles and jots a note.,"['She smiles.', 'She jots a note.']"
174,tt0583579,Joey and Ross.,they,['they']
175,tt0583579,"As Ross heads out to find Rachel on the balcony, Joey stops Monica.","As he heads out to find her on the balcony, he stops her.","['He heads out to find her on the balcony.', 'He stops her.']"
176,tt0583579,Joey smirks at Monica.,He smirks at her.,['He smirks at her.']
177,tt0583579,Rachel and Phoebe go door to door.,They go door to door.,['They go door to door.']
178,tt0583579,An elderly man opens up.,He opens up.,['He opens up.']
179,tt0583579,Rachel holds Paolo's arm.,She holds his arm.,['She holds his arm.']
180,tt0583579,"He notices Jill watching, then attempts to blow a bubble.","He notices her watching, then attempts to blow a bubble.","['He notices her watching.', 'He attempts to blow a bubble.']"
181,tt0583579,"Instead, he spits the gum across a table.","Instead, he spits the gum across a table.",['He spits the gum across a table.']
182,tt0583579,He freezes as she smiles and shakes her head.,He freezes as she smiles and shakes her head.,"['He freezes as she smiles.', 'She shakes her head.']"
183,tt0583579,He pops it in and chews.,He pops it in and chews.,"['He pops it in.', 'He chews.']"
184,tt0583579,Ross nods and sidles over to Paolo.,He nods and sidles over to him.,"['He nods.', 'He sidles over to him.']"
185,tt0583579,"Paolo, hi.",Hi.,['He says hi.']
186,tt0583462,The friends eat takeout at Monica's.,They eat takeout at her place.,['They eat takeout at her place.']
187,tt0583462,"Joey high-fives Ross, then quickly drops his smile.","He high-fives him, then quickly drops his smile.","['He high-fives him.', 'He quickly drops his smile.']"
188,tt0583462,He slumps and Joey pats his shoulder.,He slumps and he pats his shoulder.,"['He slumps.', 'He pats his shoulder.']"
189,tt0583462,He looks up at her tensely.,He looks up at her tensely.,['He looks up at her tensely.']
190,tt0583462,"At a hospital, Ross and Monica find their parents and aunt in a waiting room.","At a hospital, they find their parents and aunt in a waiting room.",['They find their parents and aunt in a waiting room.']
191,tt0583462,Ross steps on a table to hug his dad.,He steps on a table to hug him.,"['He steps on a table.', 'He hugs him.']"
192,tt0583462,She studies Monica.,She studies her.,['She studies her.']
193,tt0583462,Nana's body stills and the nurse covers her with the sheets.,Her body stills and the nurse covers her with the sheets.,"['Her body stills.', 'The nurse covers her with the sheets.']"
194,tt0583462,Ross and Monica slump.,They slump.,['They slump.']
195,tt0583462,The siblings shuffle into the waiting room to their family's expectant faces.,The siblings shuffle into the waiting room to their family's expectant faces.,"['The siblings shuffle into the waiting room.', ""They move to their family's expectant faces.""]"
196,tt0583462,Their aunt covers her mouth and their parents clutch hands.,Their aunt covers her mouth and their parents clutch hands.,"['Their aunt covers her mouth.', 'Their parents clutch hands.']"
197,tt0583462,"Meanwhile, at Central Perk, Joey, Chandler, and Phoebe sit together while Rachel works.","Meanwhile, at Central Perk, they sit together while she works.","['Meanwhile, at Central Perk, they sit together.', 'She works.']"
198,tt0583462,Monica and Ross enter.,They enter.,['They enter.']
199,tt0583462,They trudge to the couch.,They trudge to the couch.,['They trudge to the couch.']
200,tt0583462,She gestures toward Chandler beside her.,She gestures toward him beside her.,['She gestures toward him beside her.']
201,tt0583462,He shrinks away.,He shrinks away.,['He shrinks away.']
202,tt0583462,Monica and Ross nod slowly.,They nod slowly.,['They nod slowly.']
203,tt0583462,Phoebe sinks into the couch.,She sinks into the couch.,['She sinks into the couch.']
204,tt0583462,He gazes wistfully into the distance.,He gazes wistfully into the distance.,['He gazes wistfully into the distance.']
205,tt0583462,"At his office, Chandler steps into the break room.","At his office, he steps into the break room.",['He steps into the break room.']
206,tt0583462,"Shelly grabs her lunch from the fridge, then spots him.","She grabs her lunch from the fridge, then spots him.","['She grabs her lunch from the fridge.', 'She spots him.']"
207,tt0583462,They trade sheepish looks.,They trade sheepish looks.,['They trade sheepish looks.']
208,tt0583462,She grins and sits down to eat.,She grins and sits down to eat.,"['She grins.', 'She sits down to eat.']"
209,tt0583462,"Chandler freezes at the door, then turns back.","He freezes at the door, then turns back.","['He freezes at the door.', 'Then he turns back.']"
210,tt0583462,She lifts her brows and looks away.,She lifts her brows and looks away.,"['She lifts her brows.', 'She looks away.']"
211,tt0583462,"He glances around above him, then reaches toward the ceiling and pulls down a box.","He glances around above him, then reaches toward the ceiling and pulls down a box.","['He glances around above him.', 'He reaches toward the ceiling.', 'He pulls down a box.']"
212,tt0583462,"He opens it, finding it full of pink packets of sweetener.","He opens it, finding it full of pink packets of sweetener.","['He opens it.', 'He finds it full of pink packets of sweetener.']"
213,tt0583462,His face fills with emotion.,His face fills with emotion.,['His face fills with emotion.']
214,tt0583462,His mother and aunt smile.,His mother and aunt smile.,['His mother and aunt smile.']
215,tt0583462,"More pink packets rain down on him, and he laughs.","More pink packets rain down on him, and he laughs.","['More pink packets rain down on him.', 'He laughs.']"
216,tt0583462,Rachel sticks her leg out.,She sticks her leg out.,['She sticks her leg out.']
217,tt0583462,Joey and Chandler enter.,They enter.,['They enter.']
218,tt0583462,She turns away and Monica's face hardens.,She turns away and her face hardens.,"['She turns away.', 'Her face hardens.']"
219,tt0583462,Joey cocks an ear to his sleeve.,He cocks an ear to his sleeve.,['He cocks an ear to his sleeve.']
220,tt0583462,A TV.,A TV.,['A TV.']
221,tt0583462,Rachel steps in mud.,She steps in mud.,['She steps in mud.']
222,tt0583462,Ross holds Rachel's arm to steady her.,He holds her arm to steady her.,"['He holds her arm.', 'He tries to steady her.']"
223,tt0583462,She pulls away.,She pulls away.,['She pulls away.']
224,tt0583462,They smile down at him.,They smile down at him.,['They smile down at him.']
225,tt0583462,"At the reception, guests mingle and eat while Ross lays on the floor.","At the reception, guests mingle and eat while he lays on the floor.","['At the reception, guests mingle.', 'At the reception, guests eat.', 'He lays on the floor.']"
226,tt0583462,Phoebe kneels over him.,She kneels over him.,['She kneels over him.']
227,tt0583462,"He swirls his hand, then slumps.","He swirls his hand, then slumps.","['He swirls his hand.', 'He slumps.']"
228,tt0583462,Then walk off.,Then walk off.,['He walks off.']
229,tt0583462,He joins her on the couch.,He joins her on the couch.,['He joins her on the couch.']
230,tt0583492,She grabs a tip.,She grabs a tip.,['She grabs a tip.']
231,tt0583492,He gapes at her.,He gapes at her.,['He gapes at her.']
232,tt0583492,Ross huffs away as Joey strides in with blush on his cheeks.,He huffs away as he strides in with blush on his cheeks.,"['He huffs away.', 'He strides in with blush on his cheeks.']"
233,tt0583492,Chandler eyes him.,He eyes him.,['He eyes him.']
234,tt0583492,Joey nods.,He nods.,['He nods.']
235,tt0583492,Monica trades a look with Ross.,He trades a look with her.,['He trades a look with her.']
236,tt0583492,She turns to Phoebe.,She turns to her.,['She turns to her.']
237,tt0583492,Ross leans in.,He leans in.,['He leans in.']
238,tt0583492,Phoebe holds the turkey open.,She holds the turkey open.,['She holds the turkey open.']
239,tt0583492,"Frowning, Rachel slumps in.","Frowning, she slumps in.","['She frowns.', 'She slumps in.']"
240,tt0583492,Monica offers her a letter.,He offers her a letter.,['He offers her a letter.']
241,tt0583492,Rachel finds an envelope of cash.,He finds an envelope of cash.,['He finds an envelope of cash.']
242,tt0583492,"In a subway station, a train rushes by.","In a subway station, a train rushes by.","['In a subway station, a train rushes by.']"
243,tt0583492,"Joey walks onto the platform, checks his watch, and grimaces.","He walks onto the platform, checks his watch, and grimaces.","['He walks onto the platform.', 'He checks his watch.', 'He grimaces.']"
244,tt0583492,Ross frowns.,He frowns.,['He frowns.']
245,tt0583492,Phoebe waves the pie in front of Chandler.,She waves the pie in front of him.,['She waves the pie in front of him.']
246,tt0583492,He glares.,He glares.,['He glares.']
247,tt0583492,Ross storms out.,He storms out.,['He storms out.']
248,tt0583492,"At the counter, Phoebe sets down a hand mixer.","At the counter, she sets down a hand mixer.",['She sets down a hand mixer at the counter.']
249,tt0583492,Monica takes a deep breath.,She takes a deep breath.,['She takes a deep breath.']
250,tt0583492,"Ross recoils, and Susan clutches her belly.","He recoils, and she clutches her belly.","['He recoils.', 'She clutches her belly.']"
