index,text_gt,text_gt_wo_char
136,"As the completely frozen Tasha falls back, Data and the counselor catch her and slowly lay her down.","As the completely frozen she falls back, he and he catch her and slowly lay her down."
139,The captain crouches with them.,He crouches with them.
140,"The citizens look delighted as the short man smiles, shaking the bell.","The citizens look delighted as he smiles, shaking the bell."
142,The captain peers at Data.,He peers at him.
143,"Q yawns, looking bored.",He looks bored.
144,The captain stands.,He stands.
145,Hugh moves towards him.,He moves towards him.
146,Q kisses his fingers and gestures at Tasha Yar.,He kisses his fingers and gestures at her.
148,Tasha opens her eyes.,She opens her eyes.
149,The citizens look irritated.,They look irritated.
150,The counselor and Data help Tasha up.,He helps her up.
151,"The captain turns to Q as Q rolls back, then the platform rises him up high.",The platform rises him up high.
152,"Q stands, towering over the others.","He stands, towering over the others."
153,He lowers the platform to face the captain.,He lowers the platform to face him.
154,The goateed man holds up a device.,He holds up a device.
155,The captain takes it and reads.,He takes it and reads.
157,The counselor peers at him.,The counselor peers at him.
158,The captain lowers the device.,He lowers the device.
159,The short man shakes the bell.,He shakes the bell.
160,The captain glares a cue.,He glares a cue.
161,He frowns.,He frowns.
162,"In the hearing room, the guards aim their weapons at Data and the counselor.","In the hearing room, the guards aim their weapons at him and her."
164,Several citizens peer on excitedly.,They peer on excitedly.
165,The citizens shake their fists as the platform lifts a pleased-looking queue.,They shake their fists as the platform lifts a pleased-looking them.
166,The smug queue sits.,They sit.
167,Data stands.,He stands.
168,The captain swallows hard.,He swallows hard.
169,He stares at Q...,He stares at her.
170,Q looks intrigued.,He looks intrigued.
171,He leans forward.,He leans forward.
172,The citizens stand.,They stand.
173,The captain gestures and his crew gets to their feet.,The captain gestures and his crew gets to their feet.
175,The goateed man and his short associate bow.,They bow.
176,"The platform reverses, pulling Q out of the hearing room.","The platform reverses, pulling him out of the hearing room."
178,The white light flashes.,The white light flashes.
179,The captain frowns as he turns and peers at his crew on the bridge.,The captain frowns as he turns and peers at his crew on the bridge.
182,Khan sits at the helm.,He sits at the helm.
183,The dark-haired William Riker walks through a set of doors.,He walks through a set of doors.
184,He steps up to a long-haired man.,He steps up to him.
185,They hold out opposing hands.,They hold out opposing hands.
186,"Then the long-haired man switches, raises his right, and they shake hands.","Then the long-haired man switches, raises his right, and they shake hands."
189,"Riker shrugs, then freezes as he notices a bowl of apples.","He shrugs, then freezes as he notices a bowl of apples."
191,"The long-haired man places that before Riker, who selects one.","The long-haired man places that before him, who selects one."
193,Riker peers at Groppler and shakes his head.,He peers at him and shakes his head.
195,Groppler walks around him.,He walks around him.
196,"Chewing the apple, Riker nods.",He nods.
197,Riker walks out as Zorn watches him go.,He watches him go.
199,"Zorn sighs, then looks up.","He sighs, then looks up."
201,He steps up to the bowls of fruit.,He steps up to the bowls of fruit.
202,A red sky hangs over the planet's surface.,A low shot shows waving grasses and the bright blue sky.
204,"In the station, a tree sits in the middle of a large room as people bustle about.","In the station, a tree sits in the middle of a large room as people bustle about."
206,Riker smiles and follows the red-haired Dr. Crusher.,He smiles and follows her.
208,They walk into a shop.,They walk into a shop.
209,Dr. Crusher examines a fabric.,He examines a fabric.
210,Crusher follows his gaze and holds it up.,He follows his gaze and holds it up.
212,They peer at a tall man who stands nearby.,They peer at him who stands nearby.
214,The man watches as Crusher and Riker step away.,The man watches as they step away.
215,Leslie peers at the man closely as he follows them.,He peers at him closely as he follows them.
217,Pressure shakes Riker's hand.,Pressure shakes his hand.
218,He grins.,He grins.
219,He composes himself.,He composes himself.
220,The Enterprise's star drive orbits the Red Bandy planet.,Its star drive orbits the Red Bandy planet.
222,"In the transporter room, Tasha stands as Riker materializes on the transporter pad.","In the transporter room, she stands as he materializes on the transporter pad."
224,She smiles and steps up to him.,She smiles and steps up to him.
226,He follows her out.,He follows her out.
227,They walk down a hallway.,They walk down a hallway.
228,Battle bridge.,Battle bridge.
229,The turbo lift opens behind him and Tasha steps out with Riker.,The turbo lift opens behind him and she steps out with him.
231,Picard remains unmoving.,He remains unmoving.
232,Tasha takes a step and hesitates.,She takes a step and hesitates.
234,She peers at Riker.,She peers at him.
235,Picard glances back.,He glances back.
236,Tasha leads Riker away.,He leads her away.
237,"Data looks at Khan, who smirks.","He looks at him, who smirks."
239,He stands up.,He stands up.
240,He walks off.,He walks off.
241,Riker walks down a hallway.,He walks down a hallway.
242,A short woman steps up to him.,A short woman steps up to him.
243,She runs her hand along the screen.,She runs her hand along the screen.
244,Small dots run along the bottom of the screen.,Small dots run along the bottom of the screen.
246,"Further down the hallway, he looks at the screen.","Further down the hallway, he looks at the screen."
247,"The door before him opens, revealing a forest of sun rays shine into it.","The door before him opens, revealing a forest of sun rays shine into it."
250,"He steps through the doorway and into the holodeck, looking stunned.","He steps through the doorway and into the holodeck, looking stunned."
253,He turns as the door closes and disappears.,He turns as the door closes and disappears.
255,Then he peers up at the vast tree canopy.,Then he peers up at the vast tree canopy.
256,"He steps forward, smiling as he glances around.","He steps forward, smiling as he glances around."
258,Now he makes his way through the brush and up to a flowing river.,Now he makes his way through the brush and up to a flowing river.
260,He steps on rocks in the river.,He steps on rocks in the river.
261,"As he steps on one, it shifts.","As he steps on one, it shifts."
263,Then he continues to the other bank.,Then he continues to the other bank.
264,He climbs up a steep hill.,He climbs up a steep hill.
265,"Later, he moves the leaves of bushes.","Later, he moves the leaves of bushes."
266,He stops.,He stops.
267,"Before him, Data stands in a tree.","Before him, he stands in a tree."
269,Riker whistles.,He whistles.
270,Data turns to him.,He turns to him.
271,"Gaping, Riker nods.",He nods.
272,"He gestures, and Data walks off.","He gestures, and he walks off."
274,Riker follows him with an inquisitive look.,He follows him with an inquisitive look.
275,They walk off together.,They walk off together.
276,"Later, Data and Riker continue through the forest as Brush.","Later, he and he continue through the forest as Brush."
278,Data bends down and picks up a large rock.,He bends down and picks up a large rock.
280,Riker frowns as Data throws it.,He frowns as he throws it.
282,The rock hits the wall.,The rock hits the wall.
283,Riker gapes.,He gapes.
284,They step away.,They step away.
285,Mist fills the forest.,Mist fills the forest.
286,Riker waves.,He waves.
287,He wavers unsteadily and falls into the water.,He wavers unsteadily and falls into the water.
289,"Later in the Enterprise hallways, Picard stops walking and turns.","Later in the Enterprise hallways, he stops walking and turns."
291,He steps away.,He steps away.
292,"Later, the Enterprise orbits Bandy.","Later, the Enterprise orbits Bandy."
293,She stands from her desk and walks off as he follows her.,She stands from her desk and walks off as he follows her.
296,"She peers at him, then smiles.","She peers at him, then smiles."
299,"Shaking her head, she pushes him playfully.","Shaking her head, he pushes him playfully."
301,Now the Farpoint station sits under a red sky.,Now the Farpoint station sits under a red sky.
302,"Inside, people bustle about as Riker walks with Data, Tasha, Jordy, and Troy.","Inside, people bustle about as he walks with him, her, them, and him."
307,Riker gestures at Data.,He gestures at him.
308,They walk off as Jordy points and he leaves with the others.,They walk off as he points and he leaves with the others.
310,"Now in a darkened corridor, Tasha, Troy, and Jordy step carefully.","Now in a darkened corridor, they step carefully."
311,"In the mall, Data walks with Riker.","In the mall, he walks with him."
312,A wide-eyed Riker steps up to the tall man by the fabrics.,He steps up to him by the fabrics.
313,In the passage.,In the passage.
314,Troy pushes her communicator button.,He pushes her communicator button.
315,She gapes.,She gapes.
316,Then frowns intensely.,He frowns intensely.
317,She drops to her knees.,She drops to her knees.
318,Data and Riker materialize in the passage.,They materialize in the passage.
319,"Riker walks up and gestures at Geordi, who backs away.","He walks up and gestures at him, who backs away."
321,Then Riker kneels in front of Troy.,Then he kneels in front of her.
322,Tears streak down her face.,Tears streak down her face.
323,She looks at Riker.,She looks at him.
324,"Later, the away team walks down the passageways.","Later, they walk down the passageways."
325,Geordi looks around skeptically.,He looks around skeptically.
326,The Enterprise flies in space.,It flies in space.
327,"On the bridge, Picard looks to the side.","On the bridge, he looks to the side."
329,She and Picard stare at each other.,She and he stare at each other.
331,Picard puts a hand on the captain's chair.,He puts a hand on the captain's chair.
332,Picard pushes a button on his chair.,He pushes a button on his chair.
333,He paces over to Worf.,He paces over to him.
334,"Seen on the view screen, a ship flies towards them.","Seen on the view screen, a ship flies towards them."
336,"The ship moves ever closer, the pink light emitting from its underside.","The ship moves ever closer, the pink light emitting from its underside."
338,The saucer-like ship flies towards them.,The saucer-like ship flies towards them.
339,"On the bridge, a serious-looking Picard sits in his chair as he watches the ship fly closer on the viewscreen.","On the bridge, he sits in his chair as he watches the ship fly closer on the viewscreen."
341,"In his office, Groppler holds a device.","In his office, he holds a device."
343,The card leaps up.,It leaps up.
344,"As it nears, a pink beam emits from its underside.","As it nears, a pink beam emits from its underside."
345,It shines on the Enterprise.,It shines on it.
346,"On the bridge, the bright light seeps in as Picard looks concerned.","On the bridge, the bright light seeps in as he looks concerned."
348,The light fades.,The light fades.
349,He peers at Worf.,He peers at him.
350,"Now in the Farpoint Passages, Tasha steps up to Troi.","Now in the Farpoint Passages, he steps up to her."
351,Riker hurries up.,He hurries up.
352,The away team walks off as Geordi follows them.,The away team walks off as he follows them.
354,"In space, the two ships face each other.","In space, they face each other."
355,On the bridge.,On the bridge.
356,"Suddenly, several blasts shoot out from the ship.","Suddenly, several blasts shoot out from the ship."
357,Picard turns to a dark-haired man.,He turns to a dark-haired man.
358,Picard frowns as the ship shoots at the town.,He frowns as the ship shoots at the town.
360,Rubble and dust fly up as a fire starts.,Rubble and dust fly up as a fire starts.
362,"In the passage, Riker leads the others.","In the passage, he leads the others."
363,He looks wide-eyed.,He looks wide-eyed.
364,"A red light shines on him as up ahead, dust falls from the passage ceiling.","A red light shines on him as up ahead, dust falls from the passage ceiling."
366,They stumble backwards.,They stumble backwards.
367,Riker points.,He points.
368,He and Data step forward.,He and he step forward.
370,Troy looks concerned.,He looks concerned.
372,"She, Tash, and Geordi dematerialize.",They dematerialize.
373,"On the planet's surface, a building in the town burns.","On the planet's surface, a building in the town burns."
374,"In his office, a concerned Groppler holds his device.","In his office, he holds his device."
376,A blast breaks a window as Groppler covers his head protectively.,A blast breaks a window as he covers his head protectively.
378,Picard frowns.,He frowns.
379,A red beam shines through the cracks on a wooden door.,A red beam shines through the cracks on a wooden door.
380,The door flies open and Data and Riker hurry out.,The door flies open and they hurry out.
382,They peer through a doorway at the blast firing down on the town.,They peer through a doorway at the blast firing down on the town.
385,Riker and Data exchange glances.,They exchange glances.
386,They run into the town as Picard paces over to Troy.,They run into the town as he paces over to her.
388,He looks at Tasha.,He looks at her.
389,She pushes buttons on her controls.,She pushes buttons on her controls.
390,"Suddenly, a bright white light fills the room as Q appears.","Suddenly, a bright white light fills the room as he appears."
392,Picard frowns intensely as Troy gapes.,He frowns intensely as she gapes.
395,Worf turns to Picard.,He turns to him.
397,Worf settles at the helm.,He settles at the helm.
398,"On the planet's surface, the beams hit the town.","On the planet's surface, the beams hit the town."
399,"Nearby, Riker and Data lie on the floor.","Nearby, they lie on the floor."
400,"Slowly, Riker stirs and pulls himself up.","Slowly, he stirs and pulls himself up."
402,Data quickly sits up.,He quickly sits up.
403,He looks thoughtful.,He looks thoughtful.
404,He stands.,He stands.
405,Then grabs hold of Riker's arm and pulls him up easily.,Then grabs hold of his arm and pulls him up easily.
407,"Riker peers at him with wide eyes, then smiles and paces away.","He peers at him with wide eyes, then smiles and paces away."
410,They walk carefully through a doorway and into Groppler's destroyed office.,They walk carefully through a doorway and into his destroyed office.
412,A terrified Groppler sits on the floor.,A terrified he sits on the floor.
413,"As Riker and Dana turn, Groppler leaps up.","As he and she turn, it leaps up."
414,"Suddenly, Groppler looks pained as a pink light wraps around him.","Suddenly, he looks pained as a pink light wraps around him."
416,He disappears.,He disappears.
417,Riker touches his communicator button.,He touches his communicator button.
418,"Looking stunned, he steps forward.","Looking stunned, he steps forward."
419,"He lays her gently on the floor, then peers at ice particles left on his uniform.","He lays her gently on the floor, then peers at ice particles left on his uniform."
421,He looks around curiously.,He looks around curiously.
422,"Meanwhile, Riker frowns.","Meanwhile, he frowns."
423,"On the bridge, Picard looks serious.","On the bridge, he looks serious."
424,Picard enters sickbay and stands behind Troy and Crusher.,He enters sickbay and stands behind them.
426,Crusher sits at a computer.,He sits at a computer.
427,She shakes her head.,She shakes her head.
429,"Later, Data sits up from the examination table as Crusher, Riker, and Geordi stand beside him.","Later, he sits up from the examination table as they stand beside him."
431,Normal all across.,Normal all across.
432,"The sweaty Geordie sighs, looking annoyed.","The sweaty he sighs, looking annoyed."
434,Now Picard sits in his chair.,Now he sits in his chair.
435,A concerned Crusher sits at her desk as Riker enters the bridge and approaches Data.,A concerned he sits at her desk as he enters the bridge and approaches him.
438,Data raises his eyebrows.,He raises his eyebrows.
439,"He cocks his head, then frowns.","He cocks his head, then frowns."
441,Riker smiles and walks off.,He smiles and walks off.
443,"In sickbay, Crusher holds the device as she examines Geordi, who lies on a bed.","In sickbay, she holds the device as she examines him, who lies on a bed."
445,She slumps slightly and steps away.,She slumps slightly and steps away.
447,She walks to her computer and peers at it.,She walks to her computer and peers at it.
449,"Meanwhile, a dazed Geordie slowly sits up.","Meanwhile, he slowly sits up."
450,"He frowns, then removes his communicator button.","He frowns, then removes his communicator button."
452,He gets to his feet.,He gets to his feet.
453,"As he steps to a door, he examines his hand.","As he steps to a door, he examines his hand."
455,Now Crusher returns and looks stunned as she notices the empty bed.,Now he returns and looks stunned as he notices the empty bed.
457,She steps back into sickbay and rushes to her desk.,She steps back into sickbay and rushes to her desk.
459,Picard looks attentive as Tasha gapes.,He looks attentive as she gapes.
460,Tasha pushes several buttons.,She pushes several buttons.
461,He smiles and turns off the beam as Geordi looks impressed.,He smiles and turns off the beam as he looks impressed.
464,He puts a cube into a device and turns it on.,He puts a cube into a device and turns it on.
466,She hurries up to him.,She hurries up to him.
467,"He continues staring out the window, oblivious to her presence.","He continues staring out the window, oblivious to her presence."
469,She pushes her communicator button.,She pushes her communicator button.
470,She faces him.,She faces him.
471,She nods seriously.,She nods seriously.
472,She gapes as he removes his visor.,She gapes as he removes his visor.
473,She grabs his hands.,She grabs his hands.
474,"Nearby, a dark-haired man walks in as Geordie nods.","Nearby, a dark-haired man walks in as he nods."
476,She takes his hand and leads him away.,She takes his hand and leads him away.
478,In sickbay.,In sickbay.
479,Tasha faces Picard.,He faces him.
480,"She shakes her head as nearby, Geordi sits on a bed.","She shakes her head as nearby, he sits on a bed."
482,Picard steps up to Geordi as Troy and Crusher stand beside him.,He steps up to him as they stand beside him.
484,Tasha rubs her forehead and leaves.,He rubs his forehead and leaves.
486,Crusher picks up a hypospray and injects Geordi.,He picks up a hypospray and injects her.
488,Jordy rubs his hands on his chest.,He rubs his hands on his chest.
489,"Picard looks at Jordy, who breathes out restlessly.","He looks at her, who breathes out restlessly."
491,"Now, Data sits in front of a computer searching a database.","Now, he sits in front of a computer searching a database."
493,Riker leans over his shoulder.,He leans over his shoulder.
494,Data shakes his head.,He shakes his head.
495,He frowns slightly as he glances at Riker.,He frowns slightly as he glances at him.
497,Riker straightens.,He straightens.
498,Picard reads.,He reads.
499,Crusher sits at her desk.,He sits at her desk.
500,She smiles.,She smiles.
501,An unsure Data glances at Picard.,An unsure he glances at him.
502,Now Troy enters a room and glances at clothes strewn about.,Now he enters a room and glances at clothes strewn about.
504,"She walks up to Tasha, who wears a colorful shawl around her body.","She walks up to her, who wears a colorful shawl around her body."
506,Tasha grabs another shawl from Troy...,He grabs another shawl from him.
507,Troy forces a smile.,He forces a smile.
508,She grabs hold of Tasha's hand.,She grabs hold of her hand.
509,Tasha smiles.,She smiles.
510,"She chuckles, walks to the door.","She chuckles, walks to the door."
512,"Picard, Data, and Riker peer at the computer screen.",They peer at the computer screen.
513,Data frowns.,He frowns.
514,"Picard goes to speak, then stops.","He goes to speak, then stops."
516,He walks off with Riker as Data mouths the word snootful.,He walks off with him as he mouths the word snootful.
518,"Meanwhile, Crusher faces her computer at her desk.","Meanwhile, he faces his computer at his desk."
519,She stands quickly.,She stands quickly.
520,Crusher steps over.,He steps over.
521,He turns as Crusher gapes.,He turns as Crusher gapes.
522,She hurries to a wall intercom.,She hurries to a wall intercom.
523,She looks wide-eyed.,She looks wide-eyed.
524,Now Tasha sways flirtatiously as she walks down a hallway.,Now she sways flirtatiously as she walks down a hallway.
525,"A dark-haired man passes her, and she looks at him with intrigue.","A dark-haired man passes her, and she looks at him with intrigue."
527,"Nearby, a man and a woman make out as a shorter man stops in front of Tasha.","Nearby, a man and a woman make out as a shorter man stops in front of her."
529,She smiles sensually as she steps up to him and grabs him by his shoulders.,She smiles sensually as she steps up to him and grabs him by his shoulders.
531,"Suddenly, she kisses him passionately.","Suddenly, she kisses him passionately."
532,"On the bridge, Data sits at the helm as Picard and Riker are settled in their seats.","On the bridge, he sits at the helm as he and he are settled in their seats."
534,Data sits up and turns to Picard.,He turns to him.
535,He looks at the viewscreen displaying the large fiery star.,He looks at the viewscreen displaying the large fiery star.
537,Picard shifts slightly.,He shifts slightly.
538,"In an engine room, a blonde woman sits at a control.","In an engine room, she sits at a control."
539,"She and a man with a mustache peer at each other, then she nods.","She and he peer at each other, then she nods."
541,She stands and leaves.,She stands and leaves.
543,The mustachioed Shimoda turns.,He turns.
544,"Looking sweaty, he shakes Shimoda's hand.",He shakes his hand.
545,Shimoda looks pensive.,He looks pensive.
546,He nods and gets to his feet.,He nods and gets to his feet.
548,Now the blonde chief engineer enters the bridge.,Now the blonde chief engineer enters the bridge.
549,Picard cocks his head.,He cocks his head.
550,She'll extend.,She'll extend.
551,"Frowning, Picard gets to his feet.","Frowning, he gets to his feet."
553,Riker looks concerned as Picard stares ahead furiously.,He looks concerned as he stares ahead furiously.
555,"Nearby, several people smile happily.","Nearby, several people smile happily."
556,Shimoda walks over looking giddy.,He walks over looking giddy.
557,He sways unsteadily and walks into the shield.,He sways unsteadily and walks into the shield.
559,Worf sits at the helm.,He sits at the helm.
561,He glances at Picard.,He glances at him.
562,He stands and leaves quickly.,He stands and leaves quickly.
564,Now a door opens and Data tentatively enters Tasha's quarters.,Now a door opens and he tentatively enters her quarters.
566,He steps forward.,He steps forward.
567,A door opens showing Tasha in a revealing outfit.,A door opens showing her in a revealing outfit.
570,"His eyes shift, looking uneasy.","His eyes shift, looking uneasy."
572,She grins.,She grins.
573,He smiles as she pulls him towards her bedroom.,He smiles as she pulls him towards her bedroom.
574,"She stops and faces him, then pushes him onto the bed as the door closes.","She stops and faces him, then pushes him onto the bed as the door closes."
577,"In the engine room, Riker looks annoyed.","In the engine room, he looks annoyed."
578,Now a sweaty Troy walks into the engine room.,Now a sweaty he walks into the engine room.
579,Riker turns.,He turns.
580,And steps up to her.,And steps up to her.
581,She rubs his chest.,She rubs his chest.
582,He looks at her with concern.,He looks at her with concern.
584,He picks her up.,He picks her up.
585,And walks off with her.,And walks off with her.
586,"In sickbay, Crusher places a hypospray over a vial of liquid.","In sickbay, she places a hypospray over a vial of liquid."
588,Then she carries it over to Jordy.,Then she carries it over to him.
589,And injects him.,And injects him.
590,He nods.,He nods.
591,She stands.,She stands.
592,He quickly turns.,He quickly turns.
593,He leaves as Crusher looks worried.,He leaves as he looks worried.
594,"In the engine room, computer chips litter the floor.","In the engine room, computer chips litter the floor."
595,"On the bridge, Picard looks calm.","On the bridge, he looks calm."
596,He forces a smile.,He forces a smile.
597,The dark-haired man looks sweaty as he stands and lumbers off.,He looks sweaty as he stands and lumbers off.
600,Picard purses his lips.,He purses his lips.
601,The fiery star looms on the view screen.,The fiery star looms on the view screen.
603,They hold devices.,They hold devices.
604,They turn and peer at the shield in the doorway Then lean into the panel again In sickbay a disheveled crusher works at her desk a,They turn and peer at the shield in the doorway Then lean into the panel again In sickbay a disheveled she works at her desk a
607,"She rubs her head, then pulls her hair away from her face.","She rubs her head, then pulls her hair away from her face."
609,"In space, the Enterprise's tractor beam latches onto the science vessel.","In space, it latches onto the science vessel."
611,"Nearby, the turbolift door opens, revealing Data who walks in unsteadily.","Nearby, the turbolift door opens, revealing him who walks in unsteadily."
613,He smiles at Picard.,He smiles at him.
614,He examines his hand.,He examines his hand.
615,The turbo lift opens and Crusher enters the bridge.,The turbo lift opens and he enters the bridge.
617,She lets down her hair.,She lets down her hair.
618,An annoyed Picard walks off.,He walks off.
619,"Data goes to lean on a chair, but misses and falls to the floor.","He leans on a chair, but misses and falls to the floor."
621,Picard enters his ready room.,He enters his ready room.
622,She sits on his desk.,She sits on his desk.
623,She stands and removes her lab coat.,She stands and removes her lab coat.
625,"Not now, Doctor.","Not now, he."
627,She enters the turbolift.,She enters the turbolift.
628,An embarrassed Picard looks at her and waves.,An embarrassed he looks at her and waves.
630,Worf touches his communicator button as the turbolift door closes.,He touches his communicator button as the turbolift door closes.
632,Breach to Riker.,He to him.
633,Riker steps away from McDougal.,He steps away from him.
634,"Suddenly, the star glows orange, then implodes on itself, shooting out a large blast.","Suddenly, it glows orange, then implodes on itself, shooting out a large blast."
637,"At his controls, Worf looks at the viewscreen as it displays the exploding star.","At his controls, he looks at the viewscreen as it displays the exploding star."
639,Riker stands behind Picard.,He stands behind him.
640,Picard purses his lips and wipes his forehead.,He purses his lips and wipes his forehead.
643,He points at Riker.,He points at him.
644,Worf pushes the controls.,He pushes the controls.
645,"Looking concerned, he leaps up and sits at the other controls.","Looking concerned, he leaps up and sits at the other controls."
647,"He pushes them, but to no avail.","He pushes them, but to no avail."
649,Riker peers closely at Picard.,He peers closely at him.
